map,RightTile,RightIpix,RightRA,RightDec
adapt_p11-715852394892384_a225-0_447_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_457_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_45_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_460_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_462_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_463_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_468_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_471_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_477_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_488_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_49_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_502_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_503_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_506_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_512_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_516_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_517_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_518_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_519_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_531_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_533_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_53_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_546_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_54_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_557_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_558_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_55_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_560_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_579_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_581_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_588_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_595_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_599_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_5_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_69_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_71_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_74_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_78_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_79_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_81_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_90_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_93_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a315-0_101_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_103_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_105_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_107_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_113_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_11_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_125_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_129_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_12_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_133_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_143_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_144_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_150_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_155_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_157_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_158_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_164_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_165_map.h5,1778,16320,315.0,78.28414916992188
