map,RightTile,RightIpix,RightRA,RightDec
adapt_p11-715852394892384_a45-0_249_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_251_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_261_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_262_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_26_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_279_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_289_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_298_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_2_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_300_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_305_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_318_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_322_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_324_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_325_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_331_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_342_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_347_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_358_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_363_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_364_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_368_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_371_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_377_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_394_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_405_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_412_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_415_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_457_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_466_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_467_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_472_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_473_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_488_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_495_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_505_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_529_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_530_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_537_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_54_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_565_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_573_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_575_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_585_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_593_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_64_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_83_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_86_map.h5,1766,4032,45.0,78.28414916992188
adapt_p11-715852394892384_a45-0_95_map.h5,1766,4032,45.0,78.28414916992188
adapt_p23-556464309101234_a112-5_105_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_109_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_10_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_125_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_136_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_144_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_147_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_14_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_166_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_173_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_183_map.h5,1697,7743,112.5,66.44353485107422
