fluence,length,alt,az,transient_id,est_length,n_src,n_bkg,alt_ml,az_ml,err,exp_angdist,conf,wait_time,mapping_time
2.753,1.049,78.284,135.000,190,1.0,433,381,76.814,142.500,2.183,2.612,0.6846,1.049,0.106
1.400,1.634,78.284,135.000,191,1.6,219,600,74.603,152.143,5.412,6.718,0.8082,1.634,0.248
2.131,1.993,78.284,135.000,192,2.0,397,747,74.603,147.857,4.736,4.815,0.9939,1.993,0.116
4.355,4.491,78.284,135.000,193,4.5,702,1650,76.814,137.500,1.566,1.831,0.2978,4.491,0.152
3.953,0.808,78.284,135.000,194,0.8,674,311,76.814,142.500,2.183,2.036,0.6727,0.808,0.091
4.010,3.015,78.284,135.000,195,3.0,679,1147,76.814,132.500,1.566,2.071,0.4846,3.015,0.120
0.995,1.130,78.284,135.000,196,1.1,177,420,73.865,124.773,5.042,5.779,0.8817,1.130,0.183
4.671,2.869,78.284,135.000,197,2.9,828,1094,74.603,147.857,4.736,4.785,0.9998,2.869,0.092
2.611,3.033,78.284,135.000,198,3.0,445,1131,79.019,129.000,1.390,1.786,0.2940,3.033,0.131
0.903,2.014,78.284,135.000,199,2.0,146,771,73.127,146.739,5.891,6.775,0.8944,2.014,0.272
2.176,2.397,78.284,135.000,19,2.4,374,826,77.549,135.000,0.735,1.937,0.0000,2.397,0.159
2.028,2.056,78.284,135.000,1,2.1,337,724,74.603,135.000,3.681,4.220,0.9063,2.056,0.133
4.771,4.644,78.284,135.000,200,4.6,777,1748,76.814,127.500,2.183,2.300,0.7563,4.644,0.111
1.254,2.759,78.284,135.000,201,2.8,209,1032,75.341,128.250,3.317,3.934,0.4711,2.759,0.244
1.283,0.524,78.284,135.000,202,0.5,209,216,73.865,153.409,6.206,6.388,0.8778,0.524,0.230
2.601,1.005,78.284,135.000,203,1.0,466,373,73.865,149.318,5.572,5.678,0.9992,1.005,0.113
2.875,3.547,78.284,135.000,204,3.5,485,1314,76.077,125.526,3.041,2.972,0.7059,3.547,0.118
1.133,2.547,78.284,135.000,205,2.5,203,984,79.753,118.929,3.381,3.483,0.6280,2.547,0.169
4.726,1.163,78.284,135.000,206,1.2,769,423,76.814,137.500,1.566,1.831,0.5169,1.163,0.093
1.972,3.833,78.284,135.000,207,3.8,338,1378,76.077,130.263,2.442,2.704,0.4257,3.833,0.152
3.642,4.181,78.284,135.000,208,4.2,595,1627,76.077,139.737,2.442,2.916,0.8026,4.181,0.123
2.187,2.949,78.284,135.000,209,2.9,376,1185,81.953,126.818,3.919,4.392,0.9445,2.949,0.130
2.160,3.562,78.284,135.000,20,3.6,345,1331,75.341,141.750,3.317,3.565,0.6361,3.562,0.203
3.041,1.595,78.284,135.000,210,1.6,492,584,77.549,145.588,2.331,2.097,0.5958,1.595,0.103
2.836,4.634,78.284,135.000,211,4.6,483,1705,79.753,131.786,1.591,3.181,0.3757,4.634,0.166
4.427,0.270,78.284,135.000,212,0.3,779,100,79.753,131.786,1.591,1.895,0.7363,0.270,0.098
1.488,4.750,78.284,135.000,213,4.7,256,1791,80.487,162.692,5.488,4.908,0.4840,4.750,0.327
3.038,3.452,78.284,135.000,214,3.5,504,1284,75.341,150.750,4.620,4.995,0.9905,3.452,0.127
2.349,3.407,78.284,135.000,215,3.4,387,1211,74.603,143.571,4.184,4.255,0.8749,3.407,0.159
1.109,3.933,78.284,135.000,216,3.9,200,1495,76.077,135.000,2.207,2.613,0.1570,3.933,0.174
0.608,4.154,78.284,135.000,217,4.2,107,1473,72.388,155.625,7.790,37.543,0.6076,4.154,2.529
2.166,0.443,78.284,135.000,218,0.4,389,155,81.953,143.182,3.919,3.751,0.9788,0.443,0.109
4.575,3.685,78.284,135.000,219,3.7,737,1421,76.814,137.500,1.566,2.006,0.4699,3.685,0.099
1.910,3.253,78.284,135.000,21,3.3,310,1249,75.341,137.250,2.987,3.327,0.6432,3.253,0.178
1.034,3.533,78.284,135.000,220,3.5,145,1282,75.341,114.750,5.435,7.338,0.7366,3.533,0.413
2.248,4.459,78.284,135.000,221,4.5,390,1686,80.487,128.077,2.541,3.124,0.8176,4.459,0.138
3.683,3.358,78.284,135.000,222,3.4,610,1152,75.341,132.750,2.987,3.302,0.8968,3.358,0.121
4.990,0.290,78.284,135.000,223,0.3,871,114,76.077,130.263,2.442,2.560,0.9687,0.290,0.079
2.878,2.731,78.284,135.000,224,2.7,499,933,74.603,130.714,3.813,4.755,0.9727,2.731,0.137
4.557,1.376,78.284,135.000,225,1.4,770,497,76.814,132.500,1.566,1.798,0.3890,1.376,0.097
2.447,3.681,78.284,135.000,226,3.7,435,1329,75.341,141.750,3.317,3.434,0.6312,3.681,0.178
2.656,1.486,78.284,135.000,227,1.5,485,563,75.341,119.250,4.620,4.962,0.9955,1.486,0.112
4.045,4.283,78.284,135.000,228,4.3,682,1650,76.814,142.500,2.183,2.176,0.5810,4.283,0.107
2.385,3.502,78.284,135.000,229,3.5,384,1308,76.077,125.526,3.041,4.090,0.8714,3.502,0.165
4.798,2.982,78.284,135.000,22,3.0,802,1155,76.814,137.500,1.566,1.943,0.6124,2.982,0.090
2.535,1.556,78.284,135.000,230,1.6,396,618,74.603,130.714,3.813,4.025,0.9369,1.556,0.116
4.946,0.843,78.284,135.000,231,0.8,848,317,75.341,128.250,3.317,3.348,0.9827,0.843,0.086
1.558,1.767,78.284,135.000,232,1.8,261,677,70.907,112.500,9.367,8.381,0.9860,1.767,0.183
2.054,0.433,78.284,135.000,233,0.4,335,159,79.753,138.214,1.591,2.036,0.6592,0.433,0.133
1.171,0.312,78.284,135.000,234,0.3,189,123,74.603,122.143,4.736,5.302,0.9267,0.312,0.143
4.086,4.045,78.284,135.000,235,4.0,763,1540,76.077,130.263,2.442,2.415,0.6956,4.045,0.108
1.299,2.302,78.284,135.000,236,2.3,237,781,76.077,153.947,4.718,4.956,0.8463,2.302,0.174
2.918,4.070,78.284,135.000,237,4.1,490,1474,76.814,132.500,1.566,2.078,0.2580,4.070,0.132
4.678,1.382,78.284,135.000,238,1.4,754,494,75.341,141.750,3.317,3.377,0.9882,1.382,0.080
0.688,4.920,78.284,135.000,239,4.9,134,1912,68.679,141.207,9.752,7.286,0.5234,4.920,0.412
1.988,1.781,78.284,135.000,23,1.8,324,704,75.341,146.250,3.892,4.159,0.8938,1.781,0.122
3.481,1.583,78.284,135.000,240,1.6,615,590,77.549,135.000,0.735,1.029,0.0000,1.583,0.107
3.303,1.880,78.284,135.000,241,1.9,555,691,75.341,128.250,3.317,3.690,0.9585,1.880,0.100
4.744,1.459,78.284,135.000,242,1.5,758,505,79.753,151.071,3.381,3.368,0.9970,1.459,0.088
2.115,0.442,78.284,135.000,243,0.4,391,164,73.865,141.136,4.653,4.333,0.9834,0.442,0.101
2.198,2.292,78.284,135.000,244,2.3,389,854,76.077,125.526,3.041,3.421,0.8436,2.292,0.122
3.296,1.128,78.284,135.000,245,1.1,546,422,75.341,128.250,3.317,3.670,0.9683,1.128,0.105
2.171,4.900,78.284,135.000,246,4.9,375,1818,70.907,150.577,8.396,8.324,1.0000,4.900,0.163
3.292,2.002,78.284,135.000,247,2.0,509,756,75.341,128.250,3.317,3.186,0.8594,2.002,0.133
2.649,2.146,78.284,135.000,248,2.1,476,769,76.814,137.500,1.566,1.756,0.1930,2.146,0.112
2.337,3.149,78.284,135.000,249,3.1,413,1234,76.077,130.263,2.442,2.932,0.6634,3.149,0.125
4.389,0.571,78.284,135.000,24,0.6,729,225,76.077,135.000,2.207,2.560,0.9086,0.571,0.087
1.234,4.158,78.284,135.000,250,4.2,235,1532,79.019,177.000,8.117,7.462,0.9210,4.158,0.224
3.677,4.132,78.284,135.000,251,4.1,651,1554,79.753,131.786,1.591,1.755,0.2024,4.132,0.195
4.462,2.631,78.284,135.000,252,2.6,759,1036,76.814,132.500,1.566,1.922,0.4632,2.631,0.099
0.925,4.193,78.284,135.000,253,4.2,146,1517,80.487,86.538,8.902,9.272,0.6718,4.193,0.788
2.992,4.097,78.284,135.000,254,4.1,490,1447,74.603,139.286,3.813,4.105,0.9487,4.097,0.117
1.339,3.347,78.284,135.000,255,3.3,234,1271,75.341,123.750,3.892,4.025,0.5869,3.347,0.178
4.965,0.680,78.284,135.000,256,0.7,842,252,76.814,132.500,1.566,1.834,0.5667,0.680,0.093
3.309,2.662,78.284,135.000,257,2.7,572,1023,76.814,137.500,1.566,1.852,0.3415,2.662,0.116
4.515,4.121,78.284,135.000,258,4.1,816,1544,76.077,144.474,3.041,2.954,0.8360,4.121,0.114
1.395,3.452,78.284,135.000,259,3.5,238,1193,73.865,137.045,4.445,4.840,0.8625,3.452,0.146
3.468,0.266,78.284,135.000,25,0.3,594,73,76.077,135.000,2.207,2.398,0.8181,0.266,0.082
3.863,2.400,78.284,135.000,260,2.4,666,911,73.865,128.864,4.653,4.681,0.9991,2.400,0.108
2.085,2.013,78.284,135.000,261,2.0,354,793,75.341,137.250,2.987,3.783,0.8157,2.013,0.150
4.301,4.862,78.284,135.000,262,4.9,776,1775,75.341,146.250,3.892,3.633,0.9507,4.862,0.133
3.456,4.174,78.284,135.000,263,4.2,565,1585,76.814,142.500,2.183,2.515,0.6861,4.174,0.117
3.603,1.240,78.284,135.000,264,1.2,639,446,76.077,139.737,2.442,2.825,0.9036,1.240,0.085
