ID,RA,DEC,HEALPixels
382,307.63636364,-78.75010000,45204
383,314.18181818,-78.75010000,45119
384,320.72727273,-78.75010000,45160
385,327.27272727,-78.75010000,45155
386,333.81818182,-78.75010000,45156
387,340.36363636,-78.75010000,45135
388,346.90909091,-78.75010000,45144
389,353.45454545,-78.75010000,45139
390,3.07140037,-77.85010000,32938 33280
391,9.17309528,-77.85010000,32937 32939
392,15.27479020,-77.85010000,32934 32940
393,21.37648511,-77.85010000,32933 32935 32944
394,27.47818003,-77.85010000,32922 32923
395,33.57987494,-77.85010000,32918 32921 32924
396,39.68156986,-77.85010000,32917 32919
397,45.78326477,-77.85010000,32874 32960
398,51.88495969,-77.85010000,32873 32875
399,57.98665460,-77.85010000,32870 32871 32876
400,64.08834952,-77.85010000,32869 32880
401,70.19004443,-77.85010000,32858 32859
402,76.29173935,-77.85010000,32857 32860
403,82.39343426,-77.85010000,32854 32855
404,88.49512918,-77.85010000,32853 33024
405,94.59682409,-77.85010000,37034 37376
406,100.69851901,-77.85010000,37033 37035 37036
407,106.80021393,-77.85010000,37029 37030 37031
408,112.90190884,-77.85010000,37018 37040
409,119.00360376,-77.85010000,37017 37019
410,125.10529867,-77.85010000,37014 37020
411,131.20699359,-77.85010000,37013 37015
412,137.30868850,-77.85010000,36970 36971 37056
413,143.41038342,-77.85010000,36969 36972
414,149.51207833,-77.85010000,36966 36967
415,155.61377325,-77.85010000,36965 36976
416,161.71546816,-77.85010000,36954 36955
417,167.81716308,-77.85010000,36953 36956
418,173.91885799,-77.85010000,36950 36951
419,180.02055291,-77.85010000,36949 37120 41130 41472
420,186.12224782,-77.85010000,41129 41131
421,192.22394274,-77.85010000,41126 41132
422,198.32563765,-77.85010000,41125 41127
423,204.42733257,-77.85010000,41114 41136
424,210.52902748,-77.85010000,41113 41115
425,216.63072240,-77.85010000,41110 41116
426,222.73241732,-77.85010000,41109 41111 41152
427,228.83411223,-77.85010000,41066 41067
428,234.93580715,-77.85010000,41065 41068
429,241.03750206,-77.85010000,41062 41063
430,247.13919698,-77.85010000,41061 41072
431,253.24089189,-77.85010000,41049 41050 41051
432,259.34258681,-77.85010000,41046 41047 41052
433,265.44428172,-77.85010000,41045 41216
434,271.54597664,-77.85010000,45226 45568
435,277.64767155,-77.85010000,45225 45227
436,283.74936647,-77.85010000,45222 45228
437,289.85106138,-77.85010000,45221 45223
438,295.95275630,-77.85010000,45210 45232
439,302.05445121,-77.85010000,45209 45211 45212
440,308.15614613,-77.85010000,45206 45207
441,314.25784104,-77.85010000,45205 45248
442,320.35953596,-77.85010000,45162 45163
443,326.46123087,-77.85010000,45158 45161 45164
444,332.56292579,-77.85010000,45157 45159
445,338.66462071,-77.85010000,45146 45147 45168
446,344.76631562,-77.85010000,45145 45148
447,350.86801054,-77.85010000,45142 45143
448,356.96970545,-77.85010000,45141 45312
449,0.00000000,-76.95010000,33282 45313
450,5.71428571,-76.95010000,33281
451,11.42857143,-76.95010000,32942
452,17.14285714,-76.95010000,32941
453,22.85714286,-76.95010000,32946
454,28.57142857,-76.95010000,32945
455,34.28571429,-76.95010000,32926
456,40.00000000,-76.95010000,32925 32962
457,45.71428571,-76.95010000,32961
458,51.42857143,-76.95010000,32878
459,57.14285714,-76.95010000,32877
460,62.85714286,-76.95010000,32882
461,68.57142857,-76.95010000,32881
462,74.28571429,-76.95010000,32862
463,80.00000000,-76.95010000,32861 33026
464,85.71428571,-76.95010000,33025
465,91.42857143,-76.95010000,37378
466,97.14285714,-76.95010000,37377
467,102.85714286,-76.95010000,37038
468,108.57142857,-76.95010000,37037
469,114.28571429,-76.95010000,37042
470,120.00000000,-76.95010000,37022 37041
471,125.71428571,-76.95010000,37021
472,131.42857143,-76.95010000,37058
473,137.14285714,-76.95010000,37057
474,142.85714286,-76.95010000,36974
475,148.57142857,-76.95010000,36973
476,154.28571429,-76.95010000,36978
477,160.00000000,-76.95010000,36958 36977
478,165.71428571,-76.95010000,36957
479,171.42857143,-76.95010000,37122
480,177.14285714,-76.95010000,37121
481,182.85714286,-76.95010000,41474
482,188.57142857,-76.95010000,41473
483,194.28571429,-76.95010000,41134
484,200.00000000,-76.95010000,41133 41138
485,205.71428571,-76.95010000,41137
486,211.42857143,-76.95010000,41118
487,217.14285714,-76.95010000,41117
488,222.85714286,-76.95010000,41154
489,228.57142857,-76.95010000,41153
490,234.28571429,-76.95010000,41070
491,240.00000000,-76.95010000,41069 41074
492,245.71428571,-76.95010000,41073
493,251.42857143,-76.95010000,41054
494,257.14285714,-76.95010000,41053
495,262.85714286,-76.95010000,41218
496,268.57142857,-76.95010000,41217
497,274.28571429,-76.95010000,45570
498,280.00000000,-76.95010000,45230 45569
499,285.71428571,-76.95010000,45229
500,291.42857143,-76.95010000,45234
501,297.14285714,-76.95010000,45233
502,302.85714286,-76.95010000,45214
503,308.57142857,-76.95010000,45213
504,314.28571429,-76.95010000,45250
505,320.00000000,-76.95010000,45166 45249
506,325.71428571,-76.95010000,45165
507,331.42857143,-76.95010000,45170
508,337.14285714,-76.95010000,45169
509,342.85714286,-76.95010000,45150
510,348.57142857,-76.95010000,45149
511,354.28571429,-76.95010000,45314
512,2.69413671,-76.05010000,33288
513,8.06727104,-76.05010000,33283
514,13.44040537,-76.05010000,33284
515,18.81353970,-76.05010000,32943 32952
516,24.18667402,-76.05010000,32947
517,29.55980835,-76.05010000,32948
518,34.93294268,-76.05010000,32927
519,40.30607701,-76.05010000,32968
520,45.67921134,-76.05010000,32963
521,51.05234567,-76.05010000,32964
522,56.42547999,-76.05010000,32879
523,61.79861432,-76.05010000,32883 32888
524,67.17174865,-76.05010000,32884
525,72.54488298,-76.05010000,32863
526,77.91801731,-76.05010000,33032
527,83.29115164,-76.05010000,33027
528,88.66428596,-76.05010000,33028
529,94.03742029,-76.05010000,37384
530,99.41055462,-76.05010000,37379 37380
531,104.78368895,-76.05010000,37039
532,110.15682328,-76.05010000,37048
533,115.52995761,-76.05010000,37043
534,120.90309193,-76.05010000,37044
535,126.27622626,-76.05010000,37023
536,131.64936059,-76.05010000,37064
537,137.02249492,-76.05010000,37059
538,142.39562925,-76.05010000,36975 37060
539,147.76876358,-76.05010000,36984
540,153.14189790,-76.05010000,36979
541,158.51503223,-76.05010000,36980
542,163.88816656,-76.05010000,36959
543,169.26130089,-76.05010000,37128
544,174.63443522,-76.05010000,37123
545,180.00756955,-76.05010000,37124 41480
546,185.38070387,-76.05010000,41475
547,190.75383820,-76.05010000,41476
548,196.12697253,-76.05010000,41135
549,201.50010686,-76.05010000,41144
550,206.87324119,-76.05010000,41139
551,212.24637552,-76.05010000,41140
552,217.61950984,-76.05010000,41119 41160
553,222.99264417,-76.05010000,41155
554,228.36577850,-76.05010000,41156
555,233.73891283,-76.05010000,41071
