dataset,budget,num_tiles,label,elapsed_ms,cumulative_ms
sim_300_1-0_64_map.h5,30,7,init,0.216967,0.216967
sim_300_1-0_64_map.h5,30,7,mapping,20.4286,20.6456
sim_300_1-0_64_map.h5,30,7,gcp,0.982815,21.6284
sim_300_1-0_64_map.h5,30,7,total,9.60587,31.2343
sim_300_1-0_64_map.h5,40,7,init,0.217799,0.217799
sim_300_1-0_64_map.h5,40,7,mapping,20.0887,20.3065
sim_300_1-0_64_map.h5,40,7,gcp,0.711766,21.0182
sim_300_1-0_64_map.h5,40,7,total,9.89189,30.9101
sim_300_1-0_64_map.h5,50,7,init,0.216583,0.216583
sim_300_1-0_64_map.h5,50,7,mapping,20.2588,20.4754
sim_300_1-0_64_map.h5,50,7,gcp,0.675829,21.1513
sim_300_1-0_64_map.h5,50,7,total,9.93612,31.0874
sim_300_1-0_64_map.h5,60,7,init,0.223079,0.223079
