dataset,budget,num_tiles,label,elapsed_ms,cumulative_ms
sim_300_1-0_90_map.h5,60,14,gcp,1.08749,62.4366
sim_300_1-0_90_map.h5,60,14,total,9.55039,71.987
sim_300_1-0_90_map.h5,70,14,init,0.210118,0.210118
sim_300_1-0_90_map.h5,70,14,mapping,60.3875,60.5976
sim_300_1-0_90_map.h5,70,14,gcp,1.04038,61.638
sim_300_1-0_90_map.h5,70,14,total,9.5335,71.1715
sim_300_1-0_90_map.h5,80,14,init,0.211015,0.211015
sim_300_1-0_90_map.h5,80,14,mapping,56.805,57.0161
sim_300_1-0_90_map.h5,80,14,gcp,1.00269,58.0187
sim_300_1-0_90_map.h5,80,14,total,9.55139,67.5701
sim_300_1-0_90_map.h5,90,14,init,0.209831,0.209831
sim_300_1-0_90_map.h5,90,14,mapping,60.2062,60.416
sim_300_1-0_90_map.h5,90,14,gcp,1.05034,61.4663
sim_300_1-0_90_map.h5,90,14,total,9.58438,71.0507
sim_300_1-0_90_map.h5,100,14,init,0.214503,0.214503
sim_300_1-0_90_map.h5,100,14,mapping,60.6038,60.8183
sim_300_1-0_90_map.h5,100,14,gcp,1.03315,61.8515
sim_300_1-0_90_map.h5,100,14,total,9.52643,71.3779
sim_150_5-0_91_map.h5,5,22,init,0.209766,0.209766
sim_150_5-0_91_map.h5,5,22,mapping,60.197,60.4068
sim_150_5-0_91_map.h5,5,22,gcp,0.62021,61.027
sim_150_5-0_91_map.h5,5,22,total,10.0762,71.1031
sim_150_5-0_91_map.h5,10,22,init,0.216358,0.216358
sim_150_5-0_91_map.h5,10,22,mapping,60.7751,60.9914
sim_150_5-0_91_map.h5,10,22,gcp,0.768151,61.7596
sim_150_5-0_91_map.h5,10,22,total,9.83776,71.5974
sim_150_5-0_91_map.h5,20,22,init,0.213382,0.213382
sim_150_5-0_91_map.h5,20,22,mapping,60.3588,60.5722
sim_150_5-0_91_map.h5,20,22,gcp,0.935548,61.5078
sim_150_5-0_91_map.h5,20,22,total,9.68224,71.19
sim_150_5-0_91_map.h5,30,22,init,0.216294,0.216294
sim_150_5-0_91_map.h5,30,22,mapping,60.1751,60.3914
sim_150_5-0_91_map.h5,30,22,gcp,1.25434,61.6458
sim_150_5-0_91_map.h5,30,22,total,9.73056,71.3763
sim_150_5-0_91_map.h5,40,22,init,0.202822,0.202822
sim_150_5-0_91_map.h5,40,22,mapping,60.1952,60.398
sim_150_5-0_91_map.h5,40,22,gcp,1.41159,61.8096
sim_150_5-0_91_map.h5,40,22,total,9.22565,71.0352
sim_150_5-0_91_map.h5,50,22,init,0.211335,0.211335
sim_150_5-0_91_map.h5,50,22,mapping,60.7842,60.9955
sim_150_5-0_91_map.h5,50,22,gcp,1.4202,62.4157
sim_150_5-0_91_map.h5,50,22,total,9.14325,71.559
sim_150_5-0_91_map.h5,60,22,init,0.212774,0.212774
sim_150_5-0_91_map.h5,60,22,mapping,61.4331,61.6458
sim_150_5-0_91_map.h5,60,22,gcp,1.77375,63.4196
sim_150_5-0_91_map.h5,60,22,total,9.11045,72.53
sim_150_5-0_91_map.h5,70,22,init,0.213702,0.213702
sim_150_5-0_91_map.h5,70,22,mapping,60.5231,60.7368
sim_150_5-0_91_map.h5,70,22,gcp,1.44475,62.1816
sim_150_5-0_91_map.h5,70,22,total,9.16014,71.3417
sim_150_5-0_91_map.h5,80,22,init,0.237895,0.237895
sim_150_5-0_91_map.h5,80,22,mapping,59.275,59.5129
sim_150_5-0_91_map.h5,80,22,gcp,1.7662,61.2791
sim_150_5-0_91_map.h5,80,22,total,8.87444,70.1535
sim_150_5-0_91_map.h5,90,22,init,0.211719,0.211719
sim_150_5-0_91_map.h5,90,22,mapping,59.4127,59.6244
sim_150_5-0_91_map.h5,90,22,gcp,1.48257,61.107
sim_150_5-0_91_map.h5,90,22,total,9.17432,70.2813
sim_150_5-0_91_map.h5,100,22,init,0.211558,0.211558
sim_150_5-0_91_map.h5,100,22,mapping,60.4151,60.6267
sim_150_5-0_91_map.h5,100,22,gcp,1.44759,62.0743
sim_150_5-0_91_map.h5,100,22,total,9.15746,71.2317
sim_300_4-0_96_map.h5,5,5,init,0.217414,0.217414
sim_300_4-0_96_map.h5,5,5,mapping,60.8208,61.0383
sim_300_4-0_96_map.h5,5,5,gcp,0.586577,61.6248
sim_300_4-0_96_map.h5,5,5,total,10.0244,71.6492
sim_300_4-0_96_map.h5,10,5,init,0.215015,0.215015
sim_300_4-0_96_map.h5,10,5,mapping,60.7175,60.9326
sim_300_4-0_96_map.h5,10,5,gcp,0.676692,61.6093
sim_300_4-0_96_map.h5,10,5,total,9.901,71.5102
sim_300_4-0_96_map.h5,20,5,init,0.215366,0.215366
sim_300_4-0_96_map.h5,20,5,mapping,61.1818,61.3972
sim_300_4-0_96_map.h5,20,5,gcp,0.664467,62.0617
sim_300_4-0_96_map.h5,20,5,total,9.92983,71.9915
sim_300_4-0_96_map.h5,30,5,init,0.205734,0.205734
sim_300_4-0_96_map.h5,30,5,mapping,60.7584,60.9641
sim_300_4-0_96_map.h5,30,5,gcp,0.646452,61.6106
sim_300_4-0_96_map.h5,30,5,total,9.96426,71.5748
sim_300_4-0_96_map.h5,40,5,init,0.219014,0.219014
sim_300_4-0_96_map.h5,40,5,mapping,60.6001,60.8191
sim_300_4-0_96_map.h5,40,5,gcp,0.626387,61.4455
sim_300_4-0_96_map.h5,40,5,total,10.0218,71.4672
sim_300_4-0_96_map.h5,50,5,init,0.227111,0.227111
sim_300_4-0_96_map.h5,50,5,mapping,60.7764,61.0035
sim_300_4-0_96_map.h5,50,5,gcp,0.668788,61.6723
sim_300_4-0_96_map.h5,50,5,total,9.92151,71.5938
sim_300_4-0_96_map.h5,60,5,init,0.223687,0.223687
sim_300_4-0_96_map.h5,60,5,mapping,61.0996,61.3233
sim_300_4-0_96_map.h5,60,5,gcp,0.976957,62.3003
sim_300_4-0_96_map.h5,60,5,total,9.91521,72.2155
sim_300_4-0_96_map.h5,70,5,init,0.215879,0.215879
sim_300_4-0_96_map.h5,70,5,mapping,60.8873,61.1032
sim_300_4-0_96_map.h5,70,5,gcp,0.938716,62.0419
sim_300_4-0_96_map.h5,70,5,total,9.93162,71.9736
sim_300_4-0_96_map.h5,80,5,init,0.209223,0.209223
sim_300_4-0_96_map.h5,80,5,mapping,60.4172,60.6264
sim_300_4-0_96_map.h5,80,5,gcp,0.656244,61.2827
sim_300_4-0_96_map.h5,80,5,total,9.98567,71.2683
sim_300_4-0_96_map.h5,90,5,init,0.219975,0.219975
sim_300_4-0_96_map.h5,90,5,mapping,61.0386,61.2586
sim_300_4-0_96_map.h5,90,5,gcp,0.662356,61.9209
sim_300_4-0_96_map.h5,90,5,total,9.94778,71.8687
sim_300_4-0_96_map.h5,100,5,init,0.214855,0.214855
sim_300_4-0_96_map.h5,100,5,mapping,60.8123,61.0271
sim_300_4-0_96_map.h5,100,5,gcp,0.650995,61.6781
sim_300_4-0_96_map.h5,100,5,total,9.97178,71.6499
sim_250_5-0_99_map.h5,5,23,init,0.221031,0.221031
sim_250_5-0_99_map.h5,5,23,mapping,60.864,61.085
sim_250_5-0_99_map.h5,5,23,gcp,0.994909,62.08
sim_250_5-0_99_map.h5,5,23,total,9.65459,71.7345
sim_250_5-0_99_map.h5,10,23,init,0.207078,0.207078
sim_250_5-0_99_map.h5,10,23,mapping,60.8268,61.0339
sim_250_5-0_99_map.h5,10,23,gcp,0.74543,61.7793
sim_250_5-0_99_map.h5,10,23,total,9.87578,71.6551
sim_250_5-0_99_map.h5,20,23,init,0.210854,0.210854
sim_250_5-0_99_map.h5,20,23,mapping,60.9661,61.177
sim_250_5-0_99_map.h5,20,23,gcp,0.953532,62.1305
